0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
419,422,186,212,263,268,243,256,96,115,144,158,130,135,42,67,90,118,108,94,18,48,78,104,97,117,338,384,351,379,335,365,344,394,402,455,439,502,473,565,572,592,609,641,593,680,654,664,empty
251,253,111,127,163,161,145,153,57,69,86,94,78,81,25,40,54,71,64,56,11,29,46,62,58,70,369,416,367,406,358,395,685,710,646,682,653,710,701,808,823,872,922,978,944,1044,1030,1062,empty
151,152,67,85,129,130,107,105,34,41,52,56,46,48,15,24,32,42,38,34,6,17,28,37,35,42,221,249,220,244,215,237,609,607,537,573,535,591,854,940,878,913,938,980,918,1034,997,1027,empty
634,647,59,111,209,225,195,133,20,24,31,34,28,29,9,14,19,25,23,20,4,10,16,22,21,25,133,149,132,146,129,142,365,364,322,344,321,355,512,586,553,548,563,588,836,934,839,867,empty
1232,1238,157,231,374,388,343,314,12,14,55,40,17,17,5,8,11,15,13,12,2,6,10,13,12,15,79,89,79,87,77,85,219,218,193,206,192,213,307,351,332,329,337,352,502,560,503,520,empty
1705,1722,657,719,838,819,758,731,168,180,266,263,223,150,3,6,39,9,8,7,1,3,6,10,7,9,47,53,47,52,46,51,131,131,116,123,115,127,184,211,199,197,202,211,301,336,302,312,empty
1855,1866,869,923,1034,1010,921,890,367,393,455,464,401,358,131,156,183,175,155,29,0,10,27,44,20,5,28,32,28,31,27,30,79,78,69,74,69,76,110,126,119,118,121,127,180,201,181,187,empty
1512,1521,649,703,821,797,736,719,314,353,401,411,339,334,129,164,192,197,181,113,30,28,83,96,63,3,30,43,44,50,21,18,47,47,41,44,41,46,66,76,71,71,72,76,108,121,108,112,empty
917,938,409,460,546,538,505,506,216,245,305,329,265,271,92,132,173,188,154,143,39,56,107,125,100,77,126,147,148,169,128,141,277,296,247,255,218,192,249,291,255,247,228,206,189,207,187,179,empty
550,563,245,276,337,342,315,336,129,147,193,223,167,188,55,79,109,136,112,123,23,58,101,125,110,118,248,284,274,325,251,278,338,376,346,364,317,315,320,395,382,414,448,444,415,438,403,408,empty
330,338,147,165,202,212,189,235,77,88,116,140,100,113,33,47,65,82,68,73,14,34,61,91,81,89,216,267,260,299,265,300,625,666,589,605,573,617,639,767,752,815,861,889,850,912,875,910,empty
198,202,88,99,140,146,123,159,46,53,69,84,60,67,19,28,39,49,41,44,8,20,36,66,48,53,272,252,242,283,255,280,559,612,547,572,541,585,898,992,917,968,1003,1024,1010,1084,1056,1107,empty
118,121,53,89,134,144,93,95,28,31,41,50,36,40,11,17,23,29,24,26,5,12,22,40,29,32,163,151,145,170,153,168,407,450,401,362,355,351,774,852,764,805,826,854,1151,1208,1118,1182,empty
842,840,97,155,272,298,241,165,16,19,25,30,21,24,7,10,14,17,14,15,3,7,13,24,17,19,98,91,87,102,91,101,244,270,240,217,213,210,464,511,458,483,495,512,818,840,781,711,empty
1401,1396,231,303,459,482,425,374,15,42,88,92,65,25,4,6,14,24,15,9,1,4,7,14,10,11,58,54,52,61,55,60,146,162,144,130,128,126,278,306,275,290,297,307,491,504,468,427,empty
1775,1769,689,745,879,860,792,754,287,325,366,370,321,31,12,10,36,33,20,5,1,2,4,8,6,6,35,32,31,36,33,36,87,97,86,78,76,75,167,184,165,174,178,184,294,302,281,256,empty
1791,1784,822,890,993,958,890,861,396,434,478,485,425,258,120,147,169,168,148,3,0,20,24,41,20,4,21,19,18,22,19,21,52,58,51,47,46,45,100,110,99,104,107,110,176,181,168,153,empty
1267,1275,512,566,692,673,624,618,288,331,371,386,334,238,101,159,162,177,159,79,25,77,70,93,83,77,91,108,105,117,91,13,38,55,51,43,27,27,60,66,59,62,64,66,106,108,101,92,empty
760,765,307,357,453,451,418,423,175,226,264,291,242,194,61,114,135,168,143,111,15,65,93,116,107,123,187,218,223,238,189,155,312,337,296,321,268,267,258,280,260,283,273,135,353,373,301,266,empty
456,459,184,214,272,275,250,263,105,137,176,202,159,143,36,68,87,118,105,98,9,43,79,91,104,133,297,342,329,358,327,284,373,411,401,435,398,447,440,507,492,560,572,523,630,687,645,654,empty
273,275,110,128,163,165,150,164,63,82,105,121,95,86,21,41,52,71,63,59,5,25,47,60,66,80,288,341,319,350,321,315,626,672,598,633,593,658,664,781,775,874,905,921,960,1064,1025,1058,empty
164,165,66,82,127,127,110,98,37,49,63,72,57,51,13,24,31,42,37,35,3,15,28,36,39,48,193,253,241,212,203,189,587,635,552,579,540,597,876,963,899,960,968,979,990,1096,1057,1122,empty
420,430,83,117,197,204,174,103,22,29,38,43,34,30,7,14,18,25,22,21,1,9,17,21,23,28,116,152,144,127,122,113,352,381,331,347,324,358,665,684,632,576,587,587,1047,1119,1007,1055,empty
1078,1083,103,159,317,333,290,247,13,17,44,32,20,24,4,8,11,15,13,12,1,5,10,13,14,17,69,91,86,76,73,68,211,228,199,208,194,215,399,410,379,345,352,352,628,671,604,633,empty
1585,1597,573,622,762,745,688,652,102,126,197,196,162,26,2,5,6,21,8,7,0,3,6,7,8,10,41,54,52,45,44,40,126,137,119,125,116,129,239,246,227,207,211,211,376,403,362,379,empty
1831,1836,845,884,1015,979,914,889,319,362,415,411,372,286,114,121,154,159,147,4,0,7,27,27,5,6,25,32,31,27,26,24,76,82,71,75,70,77,143,147,136,124,126,126,226,241,217,227,empty
1639,1656,677,723,865,831,786,765,294,341,390,393,350,299,138,151,186,195,177,77,32,57,67,92,60,65,15,19,18,20,15,14,45,49,42,45,42,46,86,88,82,74,76,76,135,145,130,136,empty
1051,1076,447,499,609,592,559,556,209,253,306,319,276,256,106,132,170,187,168,116,42,94,89,119,95,110,120,141,138,152,121,132,202,220,196,192,163,129,141,153,136,52,45,45,81,87,78,82,empty
630,645,268,299,379,379,357,360,125,162,211,235,192,190,64,79,125,150,138,118,33,89,107,133,133,144,229,265,255,274,235,253,273,307,297,326,264,257,248,281,275,232,191,214,221,240,232,238,empty
378,387,161,179,227,239,216,226,75,97,130,157,115,116,38,47,75,101,102,80,20,53,93,109,103,135,298,348,332,361,332,354,636,671,606,632,599,647,642,712,700,735,727,774,746,803,785,809,empty
