0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1529,1461,355,422,560,569,545,261,17,65,122,84,58,42,0,45,57,78,0,1,0,1,2,23,0,1,59,65,52,17,15,5,117,120,89,43,41,20,172,184,147,133,131,67,260,267,221,80,hand_press
1291,1246,308,373,485,503,470,321,130,179,215,166,128,123,20,72,92,52,20,6,0,21,26,48,21,23,190,182,175,188,75,48,118,138,116,43,24,12,242,264,203,144,115,80,156,160,132,48,hand_press
921,901,191,255,349,367,322,247,96,146,174,146,103,119,13,69,92,38,18,18,0,19,34,57,35,41,265,278,234,170,64,48,158,185,153,143,117,139,266,290,243,86,69,49,393,417,342,263,hand_press
552,541,114,153,209,233,193,154,57,94,116,113,75,92,8,49,74,52,33,44,0,30,48,74,66,91,398,429,354,312,209,85,582,617,514,597,606,636,715,782,725,661,655,200,530,642,633,330,hand_press
331,324,68,91,126,150,120,92,34,64,78,86,53,55,5,29,44,38,22,31,0,18,29,58,44,72,309,346,296,270,191,108,349,389,343,399,403,441,706,770,663,647,740,587,848,1086,1067,987,hand_press
198,194,41,55,76,90,72,55,20,38,47,51,31,33,3,17,26,23,13,18,0,11,17,35,26,43,185,212,183,176,121,80,219,233,205,239,241,272,529,596,518,502,566,471,976,1116,1026,995,hand_press
119,116,24,44,59,61,46,33,12,23,28,31,19,20,1,10,16,13,7,11,0,6,10,21,16,26,111,127,110,105,73,48,131,140,129,143,145,163,317,357,316,333,365,317,940,1028,898,844,hand_press
1155,1076,14,90,253,250,227,192,7,48,70,63,20,31,1,6,9,8,4,6,0,3,6,12,9,15,66,76,66,63,43,29,79,84,77,86,87,97,190,214,190,204,238,231,1114,1173,963,941,hand_press
2186,1990,133,245,509,529,487,474,4,29,82,92,38,51,0,3,5,4,2,4,0,2,3,7,5,9,40,45,39,38,26,17,47,50,46,51,52,58,114,128,114,122,143,138,668,704,578,565,hand_press
2640,2393,80,313,625,650,606,607,2,25,114,143,85,124,0,2,3,2,1,2,0,1,2,4,3,5,24,27,23,22,15,10,28,30,28,31,31,35,68,77,68,73,85,83,401,422,346,339,hand_press
3138,2804,156,341,716,754,701,429,1,28,100,131,79,95,0,1,2,1,1,7,0,1,6,2,2,3,14,16,14,13,9,6,17,18,16,18,18,21,41,46,41,44,51,51,389,253,208,203,hand_press
2563,2316,99,233,551,585,555,397,0,37,109,111,67,63,0,22,30,45,39,5,13,34,35,1,1,2,8,13,16,8,8,3,76,100,92,81,63,71,223,249,214,203,185,165,455,366,287,266,hand_press
1538,1399,59,140,337,364,340,256,0,48,92,105,60,62,21,58,62,88,68,58,58,88,91,76,71,79,33,60,65,71,37,53,70,105,101,95,89,107,573,586,489,301,360,317,1596,1857,1810,1798,hand_press
922,839,113,84,210,227,206,192,0,35,75,82,42,48,12,34,52,79,47,48,69,93,94,107,77,105,48,81,96,112,90,103,87,128,131,141,157,121,413,668,976,1261,1774,1413,2045,2321,2296,1202,hand_press
553,503,68,57,144,158,137,115,0,21,45,49,25,28,14,37,50,84,56,75,41,55,56,73,55,72,59,88,96,125,86,114,58,111,111,137,144,147,743,914,1018,1184,1749,1739,2210,2673,2754,2354,hand_press
332,302,41,74,105,139,103,69,0,12,27,29,15,17,8,22,30,50,33,45,24,69,63,93,66,96,35,52,57,75,52,68,57,133,124,121,109,130,725,837,858,956,1286,1276,1898,2182,2139,1912,hand_press
298,310,24,44,63,83,62,41,0,7,16,17,9,10,5,13,18,30,20,27,14,41,37,55,39,57,21,31,34,45,31,41,34,80,74,72,65,78,751,844,777,816,1014,1015,1809,1991,1866,1307,hand_press
190,263,14,70,71,92,84,57,0,4,9,10,5,6,3,8,10,18,12,16,8,25,22,33,23,34,12,19,20,27,18,24,20,48,44,43,39,46,450,506,466,489,608,609,1085,1195,1119,784,hand_press
